,miRNA,70459-genome-miRNAcount,miRNA,70460-genome-miRNAcount,miRNA,70461-genome-miRNAcount,miRNA,74665-genome-miRNAcount,miRNA,74666-genome-miRNAcount,miRNA,74667-genome-miRNAcount,miRNA,74668-genome-miRNAcount,miRNA,74669-genome-miRNAcount,miRNA,74670-genome-miRNAcount,miRNA,74671-genome-miRNAcount,miRNA,74672-genome-miRNAcount,miRNA,74673-genome-miRNAcount,miRNA,74674-genome-miRNAcount,miRNA,74675-genome-miRNAcount,miRNA,74676-genome-miRNAcount,miRNA,74677-genome-miRNAcount,miRNA,74678-genome-miRNAcount,miRNA,74679-genome-miRNAcount,miRNA,74680-genome-miRNAcount,miRNA,74681-genome-miRNAcount,miRNA,74682-genome-miRNAcount
410,hsa-miR-181b-2-3p,0,       0,hsa-miR-221-5p,hsa-miR-185-5p,515,hsa-miR-181c-3p,8,hsa-miR-184,0,hsa-miR-16-5p,228011,hsa-miR-1825,0,hsa-miR-185-3p,17,hsa-miR-183-3p,0,hsa-miR-17-5p,87,hsa-miR-190a-5p,1,hsa-miR-181c-3p,4,hsa-miR-181c-3p,5,hsa-miR-17-3p,12,hsa-miR-184,0,hsa-miR-15b-5p,181,hsa-miR-182-3p,0,hsa-miR-181b-5p,59,hsa-miR-1825,0,hsa-miR-183-5p,0,hsa-miR-185-3p,8
411,hsa-miR-181b-3p,0,       0,hsa-miR-222-3p,hsa-miR-186-3p,0,hsa-miR-181c-5p,6,hsa-miR-1843,0,hsa-miR-17-3p,15,hsa-miR-1827,0,hsa-miR-185-3p,29,hsa-miR-183-5p,0,hsa-miR-17-5p,399,hsa-miR-190b-3p,0,hsa-miR-181c-3p,5,hsa-miR-181c-5p,1,hsa-miR-17-3p,43,hsa-miR-1843,0,hsa-miR-15b-5p,2007,hsa-miR-182-5p,0,hsa-miR-181b-5p,119,hsa-miR-1827,0,hsa-miR-184,0,hsa-miR-185-5p,42
412,hsa-miR-181b-5p,0,       0,hsa-miR-222-5p,hsa-miR-186-5p,0,hsa-miR-181c-5p,15,hsa-miR-185-3p,11,hsa-miR-17-3p,59,hsa-miR-183-3p,0,hsa-miR-185-5p,301,hsa-miR-184,3,hsa-miR-181a-2-3p,26,hsa-miR-190b-5p,0,hsa-miR-181c-5p,3,hsa-miR-181d-3p,0,hsa-miR-17-5p,51,hsa-miR-185-3p,14,hsa-miR-16-1-3p,0,hsa-miR-1825,0,hsa-miR-181c-3p,1,hsa-miR-183-3p,0,hsa-miR-1843,0,hsa-miR-185-5p,299
413,hsa-miR-181b-5p,4,       0,hsa-miR-223-5p,hsa-miR-187-3p,0,hsa-miR-181d-3p,0,hsa-miR-185-3p,34,hsa-miR-17-5p,100,hsa-miR-183-5p,0,hsa-miR-185-5p,1256,hsa-miR-184,8,hsa-miR-181a-2-3p,100,hsa-miR-191-3p,0,hsa-miR-181c-5p,4,hsa-miR-181d-5p,2,hsa-miR-17-5p,401,hsa-miR-185-3p,22,hsa-miR-16-2-3p,168,hsa-miR-1827,0,hsa-miR-181c-3p,3,hsa-miR-183-5p,0,hsa-miR-185-3p,20,hsa-miR-186-3p,0
414,hsa-miR-181c-3p,0,       0,hsa-miR-224-3p,hsa-miR-187-5p,0,hsa-miR-181d-5p,2,hsa-miR-185-5p,402,hsa-miR-17-5p,461,hsa-miR-184,0,hsa-miR-186-3p,0,hsa-miR-1843,0,hsa-miR-181a-3p,0,hsa-miR-191-5p,0,hsa-miR-181d-3p,0,hsa-miR-181d-5p,6,hsa-miR-181a-2-3p,5,hsa-miR-185-5p,309,hsa-miR-16-2-3p,181,hsa-miR-183-3p,0,hsa-miR-181c-5p,13,hsa-miR-184,0,hsa-miR-185-3p,55,hsa-miR-186-5p,0
415,hsa-miR-181c-5p,0,       0,hsa-miR-2276-3p,hsa-miR-188-3p,0,hsa-miR-181d-5p,3,hsa-miR-185-5p,1406,hsa-miR-181a-2-3p,7,hsa-miR-1843,0,hsa-miR-186-5p,0,hsa-miR-185-3p,8,hsa-miR-181a-5p,1255,hsa-miR-1910-3p,0,hsa-miR-181d-5p,3,hsa-miR-182-3p,0,hsa-miR-181a-2-3p,31,hsa-miR-185-5p,1342,hsa-miR-16-5p,66334,hsa-miR-183-5p,0,hsa-miR-181c-5p,20,hsa-miR-1843,0,hsa-miR-185-5p,664,hsa-miR-187-3p,0
416,hsa-miR-181d-3p,0,       0,hsa-miR-2276-5p,hsa-miR-188-5p,0,hsa-miR-182-3p,0,hsa-miR-186-3p,0,hsa-miR-181a-2-3p,35,hsa-miR-185-3p,8,hsa-miR-187-3p,0,hsa-miR-185-3p,18,hsa-miR-181a-5p,4314,hsa-miR-1910-5p,0,hsa-miR-181d-5p,5,hsa-miR-182-5p,0,hsa-miR-181a-3p,0,hsa-miR-186-3p,0,hsa-miR-16-5p,412853,hsa-miR-184,0,hsa-miR-181d-3p,0,hsa-miR-185-3p,18,hsa-miR-185-5p,1954,hsa-miR-187-5p,0
417,hsa-miR-181d-5p,0,       0,hsa-miR-2277-3p,hsa-miR-18a-3p,0,hsa-miR-182-5p,0,hsa-miR-186-5p,0,hsa-miR-181a-3p,0,hsa-miR-185-3p,29,hsa-miR-187-5p,0,hsa-miR-185-5p,481,hsa-miR-181b-2-3p,0,hsa-miR-1911-3p,0,hsa-miR-182-3p,0,hsa-miR-1825,0,hsa-miR-181a-5p,150,hsa-miR-186-5p,0,hsa-miR-17-3p,96,hsa-miR-1843,0,hsa-miR-181d-5p,10,hsa-miR-185-3p,46,hsa-miR-186-3p,0,hsa-miR-188-3p,0
418,hsa-miR-182-3p,0,       0,hsa-miR-2277-5p,hsa-miR-18a-5p,6,hsa-miR-1825,0,hsa-miR-187-3p,0,hsa-miR-181a-5p,415,hsa-miR-185-5p,591,hsa-miR-188-3p,0,hsa-miR-185-5p,1479,hsa-miR-181b-3p,0,hsa-miR-1911-5p,0,hsa-miR-182-5p,0,hsa-miR-1827,0,hsa-miR-181a-5p,992,hsa-miR-187-3p,0,hsa-miR-17-3p,208,hsa-miR-185-3p,14,hsa-miR-182-3p,0,hsa-miR-185-5p,861,hsa-miR-186-5p,0,hsa-miR-188-5p,0
419,hsa-miR-182-5p,0,       0,hsa-miR-2278,hsa-miR-18a-5p,11,hsa-miR-1827,0,hsa-miR-187-5p,0,hsa-miR-181a-5p,1897,hsa-miR-185-5p,2242,hsa-miR-188-5p,1,hsa-miR-186-3p,0,hsa-miR-181b-5p,106,hsa-miR-1912-3p,0,hsa-miR-1825,0,hsa-miR-183-3p,0,hsa-miR-181b-2-3p,0,hsa-miR-187-5p,0,hsa-miR-17-5p,320,hsa-miR-185-3p,41,hsa-miR-182-5p,0,hsa-miR-185-5p,2456,hsa-miR-187-3p,0,hsa-miR-18a-3p,0
420,hsa-miR-1825,0,       0,hsa-miR-2355-3p,hsa-miR-18b-3p,0,hsa-miR-183-3p,0,hsa-miR-188-3p,0,hsa-miR-181b-2-3p,0,hsa-miR-186-3p,0,hsa-miR-18a-3p,0,hsa-miR-186-5p,0,hsa-miR-181b-5p,309,hsa-miR-1912-5p,0,hsa-miR-1827,0,hsa-miR-183-5p,0,hsa-miR-181b-3p,0,hsa-miR-188-3p,0,hsa-miR-17-5p,1492,hsa-miR-185-5p,299,hsa-miR-1825,0,hsa-miR-186-3p,0,hsa-miR-187-5p,0,hsa-miR-18a-3p,1
421,hsa-miR-1827,0,       0,hsa-miR-2355-5p,hsa-miR-18b-5p,0,hsa-miR-183-5p,0,hsa-miR-188-5p,1,hsa-miR-181b-3p,0,hsa-miR-186-5p,0,hsa-miR-18a-3p,1,hsa-miR-187-3p,0,hsa-miR-181c-3p,20,hsa-miR-1913,0,hsa-miR-183-3p,0,hsa-miR-184,0,hsa-miR-181b-5p,55,hsa-miR-188-5p,0,hsa-miR-181a-2-3p,60,hsa-miR-185-5p,1271,hsa-miR-1827,0,hsa-miR-186-5p,0,hsa-miR-188-3p,0,hsa-miR-18a-5p,7
422,hsa-miR-183-3p,0,       0,hsa-miR-2392,hsa-miR-1908-3p,0,hsa-miR-184,0,hsa-miR-18a-3p,2,hsa-miR-181b-5p,74,hsa-miR-187-3p,0,hsa-miR-18a-5p,3,hsa-miR-187-5p,0,hsa-miR-181c-3p,30,hsa-miR-1914-3p,0,hsa-miR-183-5p,0,hsa-miR-184,1,hsa-miR-181b-5p,156,hsa-miR-18a-3p,0,hsa-miR-181a-2-3p,242,hsa-miR-186-3p,0,hsa-miR-183-3p,0,hsa-miR-187-3p,0,hsa-miR-188-5p,0,hsa-miR-18a-5p,14
423,hsa-miR-183-5p,0,       0,hsa-miR-23a-3p,hsa-miR-1908-5p,0,hsa-miR-1843,0,hsa-miR-18a-3p,5,hsa-miR-181b-5p,190,hsa-miR-187-5p,0,hsa-miR-18a-5p,14,hsa-miR-188-3p,0,hsa-miR-181c-5p,50,hsa-miR-1914-5p,0,hsa-miR-184,0,hsa-miR-1843,0,hsa-miR-181c-3p,2,hsa-miR-18a-3p,4,hsa-miR-181a-3p,0,hsa-miR-186-5p,0,hsa-miR-183-5p,0,hsa-miR-187-5p,0,hsa-miR-18a-3p,3,hsa-miR-18b-3p,0
424,hsa-miR-184,0,       0,hsa-miR-23a-5p,hsa-miR-1909-3p,0,hsa-miR-185-3p,16,hsa-miR-18a-5p,10,hsa-miR-181c-3p,2,hsa-miR-188-3p,0,hsa-miR-18b-3p,0,hsa-miR-188-5p,0,hsa-miR-181c-5p,88,hsa-miR-1915-3p,0,hsa-miR-1843,0,hsa-miR-185-3p,13,hsa-miR-181c-3p,3,hsa-miR-18a-5p,3,hsa-miR-181a-5p,1050,hsa-miR-187-3p,0,hsa-miR-184,0,hsa-miR-188-3p,0,hsa-miR-18a-3p,6,hsa-miR-18b-5p,0
425,hsa-miR-184,1072,       0,hsa-miR-23b-3p,hsa-miR-1909-5p,0,hsa-miR-185-3p,56,hsa-miR-18a-5p,17,hsa-miR-181c-3p,4,hsa-miR-188-5p,0,hsa-miR-18b-5p,0,hsa-miR-18a-3p,2,hsa-miR-181d-3p,2,hsa-miR-1915-5p,0,hsa-miR-185-3p,19,hsa-miR-185-3p,38,hsa-miR-181c-5p,3,hsa-miR-18a-5p,12,hsa-miR-181a-5p,4018,hsa-miR-187-5p,0,hsa-miR-1843,0,hsa-miR-188-5p,6,hsa-miR-18a-5p,9,hsa-miR-1908-3p,0
426,hsa-miR-184,2040,       0,hsa-miR-23c,hsa-miR-190a-3p,0,hsa-miR-185-5p,1110,hsa-miR-18b-3p,0,hsa-miR-181c-5p,7,hsa-miR-18a-3p,3,hsa-miR-1908-3p,0,hsa-miR-18a-3p,4,hsa-miR-181d-5p,65,hsa-miR-192-3p,0,hsa-miR-185-3p,61,hsa-miR-185-5p,809,hsa-miR-181c-5p,15,hsa-miR-18b-3p,0,hsa-miR-181b-2-3p,1,hsa-miR-188-3p,0,hsa-miR-185-3p,53,hsa-miR-18a-3p,19,hsa-miR-18a-5p,31,hsa-miR-1908-5p,0
427,hsa-miR-1843,0,       0,hsa-miR-24-1-5p,hsa-miR-190a-5p,16,hsa-miR-185-5p,5567,hsa-miR-18b-5p,0,hsa-miR-181c-5p,15,hsa-miR-18a-3p,8,hsa-miR-1908-5p,0,hsa-miR-18a-5p,8,hsa-miR-181d-5p,107,hsa-miR-192-5p,0,hsa-miR-185-5p,427,hsa-miR-185-5p,2287,hsa-miR-181d-3p,0,hsa-miR-18b-5p,0,hsa-miR-181b-3p,0,hsa-miR-188-5p,0,hsa-miR-185-3p,156,hsa-miR-18a-3p,39,hsa-miR-18b-3p,0,hsa-miR-1909-3p,0
428,hsa-miR-185-3p,0,       0,hsa-miR-24-3p,hsa-miR-190a-5p,32,hsa-miR-186-3p,0,hsa-miR-1908-3p,0,hsa-miR-181d-3p,0,hsa-miR-18a-5p,6,hsa-miR-1909-3p,0,hsa-miR-18a-5p,27,hsa-miR-182-3p,0,hsa-miR-193a-3p,0,hsa-miR-185-5p,1933,hsa-miR-186-3p,0,hsa-miR-181d-5p,3,hsa-miR-1908-3p,0,hsa-miR-181b-5p,173,hsa-miR-188-5p,1,hsa-miR-185-5p,2463,hsa-miR-18a-5p,22,hsa-miR-18b-5p,0,hsa-miR-1909-5p,0
429,hsa-miR-185-3p,7,       0,hsa-miR-2467-3p,hsa-miR-190b-3p,0,hsa-miR-186-5p,0,hsa-miR-1908-5p,0,hsa-miR-181d-5p,11,hsa-miR-18a-5p,25,hsa-miR-1909-5p,0,hsa-miR-18b-3p,0,hsa-miR-182-5p,0,hsa-miR-193a-5p,4,hsa-miR-186-3p,0,hsa-miR-186-5p,0,hsa-miR-181d-5p,8,hsa-miR-1908-5p,0,hsa-miR-181b-5p,385,hsa-miR-18a-3p,0,hsa-miR-185-5p,9100,hsa-miR-18a-5p,74,hsa-miR-1908-3p,0,hsa-miR-190a-3p,0
430,hsa-miR-185-3p,14,       0,hsa-miR-2467-5p,hsa-miR-190b-5p,0,hsa-miR-187-3p,0,hsa-miR-1909-3p,0,hsa-miR-181d-5p,16,hsa-miR-18b-3p,0,hsa-miR-190a-3p,0,hsa-miR-18b-5p,0,hsa-miR-1825,0,hsa-miR-193a-5p,6,hsa-miR-186-5p,0,hsa-miR-187-3p,0,hsa-miR-182-3p,0,hsa-miR-1909-3p,0,hsa-miR-181c-3p,48,hsa-miR-18a-3p,4,hsa-miR-186-3p,0,hsa-miR-18b-3p,0,hsa-miR-1908-5p,0,hsa-miR-190a-5p,17
431,hsa-miR-185-5p,0,       0,hsa-miR-25-3p,hsa-miR-191-3p,0,hsa-miR-187-5p,0,hsa-miR-1909-5p,0,hsa-miR-182-3p,0,hsa-miR-18b-5p,0,hsa-miR-190a-5p,31,hsa-miR-1908-3p,0,hsa-miR-1827,0,hsa-miR-193b-3p,0,hsa-miR-187-3p,0,hsa-miR-187-5p,0,hsa-miR-182-5p,0,hsa-miR-1909-5p,0,hsa-miR-181c-3p,64,hsa-miR-18a-5p,4,hsa-miR-186-5p,0,hsa-miR-18b-5p,0,hsa-miR-1909-3p,0,hsa-miR-190a-5p,34
432,hsa-miR-185-5p,81,       0,hsa-miR-25-5p,hsa-miR-191-5p,0,hsa-miR-188-3p,0,hsa-miR-190a-3p,0,hsa-miR-182-5p,0,hsa-miR-1908-3p,0,hsa-miR-190a-5p,129,hsa-miR-1908-5p,0,hsa-miR-183-3p,0,hsa-miR-193b-5p,0,hsa-miR-187-5p,0,hsa-miR-188-3p,0,hsa-miR-1825,0,hsa-miR-190a-3p,0,hsa-miR-181c-5p,49,hsa-miR-18a-5p,17,hsa-miR-187-3p,0,hsa-miR-1908-3p,0,hsa-miR-1909-5p,0,hsa-miR-190b-3p,0
433,hsa-miR-185-5p,176,       0,hsa-miR-2681-3p,hsa-miR-1910-3p,0,hsa-miR-188-5p,4,hsa-miR-190a-5p,14,hsa-miR-1825,0,hsa-miR-1908-5p,0,hsa-miR-190b-3p,0,hsa-miR-1909-3p,0,hsa-miR-183-5p,0,hsa-miR-193b-5p,1,hsa-miR-188-3p,0,hsa-miR-188-5p,2,hsa-miR-1827,0,hsa-miR-190a-5p,21,hsa-miR-181c-5p,65,hsa-miR-18b-3p,0,hsa-miR-187-5p,0,hsa-miR-1908-5p,0,hsa-miR-190a-3p,0,hsa-miR-190b-5p,0
434,hsa-miR-186-3p,0,       0,hsa-miR-2681-5p,hsa-miR-1910-5p,0,hsa-miR-188-5p,5,hsa-miR-190a-5p,30,hsa-miR-1827,0,hsa-miR-1909-3p,0,hsa-miR-190b-5p,0,hsa-miR-1909-5p,0,hsa-miR-184,0,hsa-miR-194-3p,0,hsa-miR-188-5p,3,hsa-miR-18a-3p,4,hsa-miR-183-3p,0,hsa-miR-190a-5p,75,hsa-miR-181d-3p,2,hsa-miR-18b-5p,0,hsa-miR-188-3p,0,hsa-miR-1909-3p,0,hsa-miR-190a-5p,129,hsa-miR-191-3p,0
435,hsa-miR-186-5p,0,       0,hsa-miR-2682-3p,hsa-miR-1911-3p,0,hsa-miR-18a-3p,12,hsa-miR-190b-3p,0,hsa-miR-183-3p,0,hsa-miR-1909-5p,0,hsa-miR-191-3p,0,hsa-miR-190a-3p,0,hsa-miR-184,2,hsa-miR-194-5p,0,hsa-miR-188-5p,6,hsa-miR-18a-3p,10,hsa-miR-183-5p,0,hsa-miR-190b-3p,0,hsa-miR-181d-5p,109,hsa-miR-1908-3p,0,hsa-miR-188-5p,8,hsa-miR-1909-5p,0,hsa-miR-190a-5p,381,hsa-miR-191-5p,0
436,hsa-miR-187-3p,0,       0,hsa-miR-2682-5p,hsa-miR-1911-5p,0,hsa-miR-18a-3p,35,hsa-miR-190b-5p,0,hsa-miR-183-5p,0,hsa-miR-190a-3p,0,hsa-miR-191-5p,0,hsa-miR-190a-5p,31,hsa-miR-1843,0,hsa-miR-195-3p,0,hsa-miR-18a-3p,2,hsa-miR-18a-5p,11,hsa-miR-184,0,hsa-miR-190b-5p,0,hsa-miR-181d-5p,146,hsa-miR-1908-5p,0,hsa-miR-18a-3p,19,hsa-miR-190a-3p,0,hsa-miR-190b-3p,0,hsa-miR-1910-3p,0
437,hsa-miR-187-5p,0,       0,hsa-miR-26a-5p,hsa-miR-1912-3p,0,hsa-miR-18a-5p,22,hsa-miR-191-3p,0,hsa-miR-184,0,hsa-miR-190a-5p,36,hsa-miR-1910-3p,0,hsa-miR-190a-5p,95,hsa-miR-185-3p,121,hsa-miR-195-5p,0,hsa-miR-18a-3p,9,hsa-miR-18a-5p,25,hsa-miR-184,1,hsa-miR-191-3p,0,hsa-miR-182-3p,0,hsa-miR-1909-3p,0,hsa-miR-18a-3p,63,hsa-miR-190a-5p,59,hsa-miR-190b-5p,0,hsa-miR-1910-5p,0
438,hsa-miR-188-3p,0,       0,hsa-miR-26b-5p,hsa-miR-1912-5p,0,hsa-miR-18a-5p,103,hsa-miR-191-5p,0,hsa-miR-1843,0,hsa-miR-190a-5p,123,hsa-miR-1910-5p,0,hsa-miR-190b-3p,0,hsa-miR-185-3p,392,hsa-miR-196a-1-3p,0,hsa-miR-18a-5p,19,hsa-miR-18b-3p,0,hsa-miR-1843,0,hsa-miR-191-5p,0,hsa-miR-182-5p,0,hsa-miR-1909-5p,0,hsa-miR-18a-5p,35,hsa-miR-190a-5p,179,hsa-miR-191-3p,0,hsa-miR-1911-3p,0
439,hsa-miR-188-5p,0,       0,hsa-miR-27a-3p,hsa-miR-1913,0,hsa-miR-18b-3p,0,hsa-miR-1910-3p,0,hsa-miR-185-3p,24,hsa-miR-190b-3p,0,hsa-miR-1911-3p,0,hsa-miR-190b-5p,0,hsa-miR-185-5p,1719,hsa-miR-196a-3p,0,hsa-miR-18a-5p,61,hsa-miR-18b-5p,0,hsa-miR-185-3p,31,hsa-miR-1910-3p,0,hsa-miR-1825,0,hsa-miR-190a-3p,0,hsa-miR-18a-5p,128,hsa-miR-190b-3p,0,hsa-miR-191-5p,0,hsa-miR-1911-5p,0
440,hsa-miR-18a-3p,0,       0,hsa-miR-28-3p,hsa-miR-1914-3p,0,hsa-miR-18b-5p,0,hsa-miR-1910-5p,0,hsa-miR-185-3p,62,hsa-miR-190b-5p,0,hsa-miR-1911-5p,0,hsa-miR-191-3p,0,hsa-miR-185-5p,9016,hsa-miR-196a-5p,0,hsa-miR-18b-3p,0,hsa-miR-1908-3p,0,hsa-miR-185-3p,92,hsa-miR-1910-5p,0,hsa-miR-1827,0,hsa-miR-190a-5p,63,hsa-miR-18b-3p,0,hsa-miR-190b-5p,0,hsa-miR-1910-3p,0,hsa-miR-1912-3p,0
441,hsa-miR-18a-3p,1,       0,hsa-miR-28-5p,hsa-miR-1914-5p,0,hsa-miR-1908-3p,0,hsa-miR-1911-3p,0,hsa-miR-185-5p,1688,hsa-miR-191-3p,0,hsa-miR-1912-3p,0,hsa-miR-191-5p,0,hsa-miR-186-3p,0,hsa-miR-196a-5p,7,hsa-miR-18b-5p,0,hsa-miR-1908-5p,0,hsa-miR-185-5p,605,hsa-miR-1911-3p,0,hsa-miR-183-3p,0,hsa-miR-190a-5p,235,hsa-miR-18b-5p,0,hsa-miR-191-3p,0,hsa-miR-1910-5p,0,hsa-miR-1912-5p,0
442,hsa-miR-18a-3p,4,       0,hsa-miR-2861,hsa-miR-1915-3p,0,hsa-miR-1908-5p,0,hsa-miR-1911-5p,0,hsa-miR-185-5p,9737,hsa-miR-191-5p,0,hsa-miR-1912-5p,0,hsa-miR-1910-3p,0,hsa-miR-186-5p,0,hsa-miR-196b-3p,0,hsa-miR-1908-3p,0,hsa-miR-1909-3p,0,hsa-miR-185-5p,7310,hsa-miR-1911-5p,0,hsa-miR-183-5p,0,hsa-miR-190b-3p,0,hsa-miR-1908-3p,0,hsa-miR-191-5p,0,hsa-miR-1911-3p,0,hsa-miR-1913,0
443,hsa-miR-18a-5p,0,       0,hsa-miR-2909,hsa-miR-1915-5p,0,hsa-miR-1909-3p,0,hsa-miR-1912-3p,0,hsa-miR-186-3p,0,hsa-miR-1910-3p,0,hsa-miR-1913,0,hsa-miR-1910-5p,0,hsa-miR-187-3p,0,hsa-miR-196b-5p,0,hsa-miR-1908-5p,0,hsa-miR-1909-5p,0,hsa-miR-186-3p,0,hsa-miR-1912-3p,0,hsa-miR-184,1,hsa-miR-190b-5p,0,hsa-miR-1908-5p,0,hsa-miR-1910-3p,0,hsa-miR-1911-5p,0,hsa-miR-1914-3p,0
444,hsa-miR-18b-3p,0,       0,hsa-miR-296-3p,hsa-miR-192-3p,0,hsa-miR-1909-5p,0,hsa-miR-1912-5p,0,hsa-miR-186-5p,0,hsa-miR-1910-5p,0,hsa-miR-1914-3p,0,hsa-miR-1911-3p,0,hsa-miR-187-5p,0,hsa-miR-197-3p,0,hsa-miR-1909-3p,0,hsa-miR-190a-3p,0,hsa-miR-186-5p,0,hsa-miR-1912-5p,0,hsa-miR-1843,0,hsa-miR-191-3p,0,hsa-miR-1909-3p,0,hsa-miR-1910-5p,0,hsa-miR-1912-3p,0,hsa-miR-1914-5p,0
445,hsa-miR-18b-5p,0,       0,hsa-miR-296-5p,hsa-miR-192-5p,0,hsa-miR-190a-3p,0,hsa-miR-1913,0,hsa-miR-187-3p,0,hsa-miR-1911-3p,0,hsa-miR-1914-5p,0,hsa-miR-1911-5p,1,hsa-miR-188-3p,0,hsa-miR-197-5p,0,hsa-miR-1909-5p,0,hsa-miR-190a-5p,86,hsa-miR-187-3p,0,hsa-miR-1913,0,hsa-miR-185-3p,361,hsa-miR-191-5p,0,hsa-miR-1909-5p,0,hsa-miR-1911-3p,0,hsa-miR-1912-5p,0,hsa-miR-1915-3p,0
446,hsa-miR-1908-3p,0,       0,hsa-miR-297,hsa-miR-193a-3p,0,hsa-miR-190a-5p,86,hsa-miR-1914-3p,0,hsa-miR-187-5p,0,hsa-miR-1911-5p,0,hsa-miR-1915-3p,0,hsa-miR-1912-3p,0,hsa-miR-188-5p,1,hsa-miR-1972,0,hsa-miR-190a-3p,0,hsa-miR-190a-5p,243,hsa-miR-187-5p,0,hsa-miR-1914-3p,0,hsa-miR-185-3p,1056,hsa-miR-1910-3p,0,hsa-miR-190a-3p,0,hsa-miR-1911-5p,0,hsa-miR-1913,0,hsa-miR-1915-5p,0
447,hsa-miR-1908-5p,0,       0,hsa-miR-298,hsa-miR-193a-5p,36,hsa-miR-190a-5p,332,hsa-miR-1914-5p,0,hsa-miR-188-3p,0,hsa-miR-1912-3p,0,hsa-miR-1915-5p,0,hsa-miR-1912-5p,0,hsa-miR-188-5p,3,hsa-miR-1973,0,hsa-miR-190a-5p,62,hsa-miR-190b-3p,0,hsa-miR-188-3p,1,hsa-miR-1914-5p,0,hsa-miR-185-5p,3227,hsa-miR-1910-5p,0,hsa-miR-190a-5p,241,hsa-miR-1912-3p,0,hsa-miR-1914-3p,0,hsa-miR-192-3p,0
448,hsa-miR-1909-3p,0,       0,hsa-miR-299-3p,hsa-miR-193a-5p,71,hsa-miR-190b-3p,0,hsa-miR-1915-3p,0,hsa-miR-188-5p,4,hsa-miR-1912-5p,0,hsa-miR-192-3p,0,hsa-miR-1913,0,hsa-miR-18a-3p,16,hsa-miR-1976,0,hsa-miR-190a-5p,255,hsa-miR-190b-5p,0,hsa-miR-188-5p,9,hsa-miR-1915-3p,0,hsa-miR-185-5p,20166,hsa-miR-1911-3p,0,hsa-miR-190a-5p,811,hsa-miR-1912-5p,0,hsa-miR-1914-5p,0,hsa-miR-192-5p,0
449,hsa-miR-1909-5p,0,       0,hsa-miR-299-5p,hsa-miR-193b-3p,0,hsa-miR-190b-5p,0,hsa-miR-1915-5p,0,hsa-miR-188-5p,7,hsa-miR-1913,0,hsa-miR-192-5p,0,hsa-miR-1914-3p,0,hsa-miR-18a-3p,54,hsa-miR-198,0,hsa-miR-190b-3p,0,hsa-miR-191-3p,0,hsa-miR-188-5p,18,hsa-miR-1915-5p,0,hsa-miR-186-3p,0,hsa-miR-1911-5p,0,hsa-miR-190b-3p,0,hsa-miR-1913,0,hsa-miR-1915-3p,1,hsa-miR-193a-3p,0
450,hsa-miR-190a-3p,0,       0,hsa-miR-29a-3p,hsa-miR-193b-5p,2,hsa-miR-191-3p,0,hsa-miR-192-3p,0,hsa-miR-18a-3p,15,hsa-miR-1914-3p,0,hsa-miR-193a-3p,0,hsa-miR-1914-5p,0,hsa-miR-18a-5p,37,hsa-miR-199a-3p,0,hsa-miR-190b-5p,0,hsa-miR-191-5p,0,hsa-miR-18a-3p,3,hsa-miR-192-3p,0,hsa-miR-186-5p,0,hsa-miR-1912-3p,0,hsa-miR-190b-5p,0,hsa-miR-1914-3p,0,hsa-miR-1915-5p,0,hsa-miR-193a-5p,1
451,hsa-miR-190a-5p,0,       0,hsa-miR-29b-2-5p,hsa-miR-193b-5p,9,hsa-miR-191-5p,0,hsa-miR-192-5p,0,hsa-miR-18a-3p,44,hsa-miR-1914-5p,0,hsa-miR-193a-5p,24,hsa-miR-1915-3p,0,hsa-miR-18a-5p,169,hsa-miR-199a-5p,0,hsa-miR-191-3p,0,hsa-miR-1910-3p,0,hsa-miR-18a-3p,19,hsa-miR-192-5p,0,hsa-miR-187-3p,0,hsa-miR-1912-5p,0,hsa-miR-191-3p,0,hsa-miR-1914-5p,0,hsa-miR-192-3p,0,hsa-miR-193a-5p,13
452,hsa-miR-190a-5p,1,       0,hsa-miR-29b-3p,hsa-miR-194-3p,0,hsa-miR-1910-3p,0,hsa-miR-193a-3p,0,hsa-miR-18a-5p,44,hsa-miR-1915-3p,0,hsa-miR-193a-5p,85,hsa-miR-1915-5p,0,hsa-miR-18b-3p,0,hsa-miR-199b-3p,0,hsa-miR-191-5p,0,hsa-miR-1910-5p,0,hsa-miR-18a-5p,28,hsa-miR-193a-3p,0,hsa-miR-187-5p,0,hsa-miR-1913,0,hsa-miR-191-5p,0,hsa-miR-1915-3p,0,hsa-miR-192-5p,0,hsa-miR-193b-3p,0
453,hsa-miR-190a-5p,2,       0,hsa-miR-29c-3p,hsa-miR-194-5p,0,hsa-miR-1910-5p,0,hsa-miR-193a-5p,50,hsa-miR-18a-5p,226,hsa-miR-1915-5p,0,hsa-miR-193b-3p,0,hsa-miR-192-3p,0,hsa-miR-18b-5p,0,hsa-miR-199b-5p,0,hsa-miR-1910-3p,0,hsa-miR-1911-3p,0,hsa-miR-18a-5p,170,hsa-miR-193a-5p,31,hsa-miR-188-3p,0,hsa-miR-1914-3p,0,hsa-miR-1910-3p,0,hsa-miR-1915-5p,0,hsa-miR-193a-3p,0,hsa-miR-193b-5p,0
